INSTNM,SAT25,SAT75
Brown University,1460,1570
Bryant University,1120,1300
New England Institute of Technology,873,1232
Providence College,1120,1330
University of Rhode Island,1090,1290
Rhode Island School of Design,1310,1480
Charleston Southern University,990,1200
Southern Wesleyan University,980,1168
College of Charleston,1090,1280
Clemson University,1220,1420
Coker University,940,1160
Columbia International University,940,1135
Erskine College,920,1150
Francis Marion University,930,1120
Furman University,1240,1422
Lander University,950,1150
Newberry College,935,1155
North Greenville University,980,1210
Presbyterian College,1010,1220
University of South Carolina Aiken,960,1170
University of South Carolina-Columbia,1150,1360
Coastal Carolina University,1030,1190
South Carolina State University,800,1050
University of South Carolina-Upstate,950,1150
Winthrop University,1000,1195
Wofford College,1185,1330
Augustana University,1020,1300
Black Hills State University,970,1150
Dakota State University,1000,1245
Dakota Wesleyan University,860,1100
Mount Marty University,810,1050
Northern State University,1020,1190
Presentation College,850,1100
South Dakota School of Mines and Technology,1155,1355
South Dakota State University,980,1220
University of South Dakota,1050,1290
Belmont University,1150,1340
Bethel University,875,1108
Carson-Newman University,955,1135
Christian Brothers University,1030,1280
Lipscomb University,1100,1270
Fisk University,1060,1360
Freed-Hardeman University,985,1195
John A Gupton College,890,960
Johnson University,980,1185
King University,1000,1160
Le Moyne-Owen College,898,1093
Lee University,1000,1230
Lincoln Memorial University,993,1226
The University of Tennessee Southern,971,1008
Maryville College,1100,1320
Middle Tennessee State University,1010,1210
Rhodes College,1330,1490
The University of the South,1200,1390
Tennessee Wesleyan University,930,1180
The University of Tennessee-Chattanooga,1030,1230
The University of Tennessee-Knoxville,1170,1340
The University of Tennessee-Martin,1010,1170
Tusculum University,910,1110
Union University,1120,1330
Vanderbilt University,1480,1570
Abilene Christian University,1050,1270
Angelo State University,950,1160
Austin College,1120,1340
Baylor University,1160,1350
Concordia University Texas,885,1150
Texas A & M University-Corpus Christi,970,1180
Dallas Baptist University,940,1200
University of Dallas,1110,1390
Texas A&M University-Texarkana,850,1150
Texas A & M University-Commerce,930,1150
Hardin-Simmons University,970,1170
Houston Baptist University,1040,1250
University of Houston-Clear Lake,978,1170
University of Houston,1140,1330
Huston-Tillotson University,820,1000
University of the Incarnate Word,920,1160
Lamar University,910,1100
Texas A & M International University,910,1110
LeTourneau University,1130,1370
Lubbock Christian University,940,1186
University of Mary Hardin-Baylor,970,1160
McMurry University,1030,1230
University of North Texas,1010,1240
Our Lady of the Lake University,890,1070
Prairie View A & M University,840,1050
Rice University,1490,1570
University of St Thomas,1040,1220
Sam Houston State University,950,1120
Schreiner University,970,1160
Southern Methodist University,1340,1510
Southwestern Assemblies of God University,900,1080
Southwestern University,1150,1330
Stephen F Austin State University,980,1160
Texas State University,990,1180
Southwestern Adventist University,900,1130
Sul Ross State University,905,1050
Tarleton State University,960,1140
Texas A & M University-Kingsville,900,1120
Texas A & M University-College Station,1140,1380
The University of Texas at Arlington,1000,1220
The University of Texas at Austin,1230,1500
The University of Texas at Tyler,1040,1250
Texas Christian University,1130,1350
The University of Texas Permian Basin,920,1140
The University of Texas at San Antonio,1020,1220
Texas Southern University,820,1000
Texas Tech University,1110,1280
Texas Wesleyan University,920,1100
Texas Woman's University,950,1160
Trinity University,1280,1468
West Texas A & M University,980,1188
Brigham Young University,1220,1440
Brigham Young University-Hawaii,1075,1260
